,equity
2022-08-08,34472.76371088201
2022-08-09,34410.054242914855
2022-08-10,34599.77313153041
2022-08-11,34456.74831266427
2022-08-12,34707.19807149528
2022-08-15,34840.14759231345
2022-08-16,34837.423622172355
2022-08-17,34673.396802196534
2022-08-18,34689.617080080156
2022-08-19,34584.51314615177
2022-08-22,34313.65742481829
2022-08-23,34131.66483684613
2022-08-24,34114.46201451416
2022-08-25,34324.87296690735
2022-08-26,33879.21970202727
2022-08-29,33726.03816068328
2022-08-30,33619.646128074884
2022-08-31,33500.19359470114
2022-09-01,33512.630485807815
2022-09-02,33457.309843193776
2022-09-06,33010.410562964265
2022-09-07,33272.46699575663
2022-09-08,33104.20424153738
2022-09-09,33120.41151222594
2022-09-12,33166.28138916236
2022-09-13,32580.117359950797
2022-09-14,32579.79045352517
2022-09-15,32497.254073848966
2022-09-16,32465.39950315095
2022-09-19,32417.751534056377
2022-09-20,32237.731421078883
2022-09-21,32451.382507550403
2022-09-22,31992.038087544992
2022-09-23,32035.72707076365
2022-09-26,31630.415334558347
2022-09-27,31280.813264035354
2022-09-28,31909.82878544168
2022-09-29,31790.896507953326
2022-09-30,31617.432196028636
2022-10-03,31933.09880425331
2022-10-04,31929.257263252497
2022-10-05,31716.228110146036
2022-10-06,31586.214283292476
2022-10-07,31419.308618128947
2022-10-10,31191.02576831972
2022-10-11,31268.5341305747
2022-10-12,31364.01551288168
2022-10-13,31189.145447860374
2022-10-14,31040.109472552365
2022-10-17,31012.218483570934
2022-10-18,31067.85843310799
2022-10-19,30751.781634141626
2022-10-20,30488.5136830227
2022-10-21,30354.75006752033
2022-10-24,30255.598270948776
2022-10-25,30684.93815432855
2022-10-26,30893.27356025055
2022-10-27,31095.57926397489
2022-10-28,30955.742397978967
2022-10-31,30828.099259615483
2022-11-01,30814.017860406915
2022-11-02,30530.30808109859
2022-11-03,30405.19600055204
2022-11-04,30500.72681808695
2022-11-07,30550.54192761278
2022-11-08,30679.313740458583
2022-11-09,30620.648027117164
2022-11-10,31164.618432601343
2022-11-11,31013.28081133375
2022-11-14,30979.604423214547
2022-11-15,31044.17277388694
2022-11-16,31023.417514917415
2022-11-17,30951.08404013015
2022-11-18,31048.451910614538
2022-11-21,31037.697893902456
2022-11-22,31181.312467248776
2022-11-23,31290.25369415762
2022-11-25,31361.735256266973
2022-11-28,31171.540028292937
2022-11-29,31178.923069440327
2022-11-30,31650.41151270452
2022-12-01,31837.700129742883
2022-12-02,31842.66540481854
2022-12-05,31549.126835046456
2022-12-06,31490.65120397881
2022-12-07,31643.106952422153
2022-12-08,31706.64667954034
2022-12-09,31483.825696041826
2022-12-12,31588.48940164922
2022-12-13,31768.762689109495
2022-12-14,31735.688289891914
2022-12-15,31335.291900654047
2022-12-16,31229.52033263791
2022-12-19,31075.70470460308
2022-12-20,31025.499186686164
2022-12-21,31225.792627527153
2022-12-22,31154.38015071276
2022-12-23,31159.521436223076
2022-12-27,31187.97172448302
2022-12-28,31031.722533096356
2022-12-29,31234.760959790852
2022-12-30,31190.926667495347
2023-01-03,31246.092301320845
2023-01-04,31383.721705519474
2023-01-05,31137.2576354783
2023-01-06,31533.482664707135
2023-01-09,31376.878526509932
2023-01-10,31494.16222871115
2023-01-11,31555.28154150997
2023-01-12,31666.72467041616
2023-01-13,31822.306255483854
2023-01-17,31710.04089422408
2023-01-18,31554.012850541767
2023-01-19,31743.676479628906
2023-01-20,31752.534896337947
2023-01-23,31706.94546081424
2023-01-24,31810.01755468079
2023-01-25,31877.05071546533
2023-01-26,31735.903349117343
2023-01-27,31705.164498456965
2023-01-30,31411.07425379017
2023-01-31,31710.54394674594
2023-02-01,32059.796500031316
2023-02-02,32149.54347184919
2023-02-03,31798.33557722411
2023-02-06,31496.07440503987
2023-02-07,32326.607796811873
2023-02-08,32008.393628936457
2023-02-09,31756.382836920922
2023-02-10,31629.591469384293
