date,champion_trend_following_v4,adaptive_ensemble,defensive_growth,factor_rotation,risk_parity,dynamic_champion_switcher_weights,etf_only_robust_portfolio,gtaa_dual_momentum_weights,blended_champion_weights_alpha_1.0,blended_champion_weights_alpha_0.9,blended_champion_weights_alpha_0.8,blended_champion_weights_alpha_0.7,blended_champion_weights_alpha_0.6,blended_champion_weights_alpha_0.5
2011-12-05,10524.669742401176,11178.567314758311,10468.81569244023,12097.416931440048,11522.73048006157,11094.208556536296,11534.27478603487,12419.886048568278,11433.166695808988,11906.984009766476,11995.145504357464,11950.36967498198,11883.167797423788,11737.100181632277
2011-12-06,10533.039998608841,11192.299848389031,10438.708352988024,12097.294741011974,11517.078283765963,11104.183786113088,11517.99925358735,12357.515954958937,11451.562714931373,11925.234210460034,12012.796924895862,11967.356863347222,11899.56433437738,11752.882358287106
2011-12-07,10489.587250358263,11152.442427332144,10452.524929865613,12138.475365655211,11529.90583892581,11035.74732083604,11540.198579384127,12391.586768473364,11356.638321885639,11836.67386933618,11932.2112776832,11894.33705718785,11833.139816963889,11692.562997597639
2011-12-08,10308.108517578648,10870.264227603762,10423.617727903067,12114.719229385957,11418.878075573735,10584.006925816371,11498.120028988798,12398.935804861858,10961.96123513126,11445.71664196878,11555.216337272426,11532.961882038599,11485.912016652821,11359.97527157296
2011-12-09,10360.842333791728,10910.579927074283,10446.542059627802,12087.558242214056,11491.003070287074,10707.269379737554,11503.706281533478,12346.925991987582,11074.828094827672,11549.745707288668,11648.65331954521,11616.460002173953,11560.758147806428,11426.890688993266
2011-12-12,10304.368046132364,10833.247821365623,10417.273148545419,12040.210678672085,11424.727043088255,10586.103890223603,11481.694991228858,12363.859722160109,10950.491410660172,11430.57163381768,11537.18815458698,11512.224728732279,11461.75719223639,11333.065953022242
2011-12-13,10277.92912086887,10735.641080720134,10387.147954050528,12009.721835170609,11386.392865622462,10418.98516708771,11492.01800223381,12378.853770230298,10893.246102454139,11362.594625192987,11461.787995662751,11431.343803959466,11376.47773993332,11244.717176997947
2011-12-14,10196.070933494335,10572.234869335774,10330.896409432738,11944.447434220137,11322.885235070904,10224.669131122646,11495.418471841791,12414.207547373115,10720.8475053806,11184.009542917373,11282.690576142695,11253.607559870483,11200.351469313153,11071.280330692745
2011-12-15,10192.326948530297,10588.224407199543,10318.31832363153,11931.052282074541,11339.665106141692,10246.281580472876,11518.184708297615,12384.09155111048,10713.057843974282,11180.409222599232,11282.87254477988,11257.014568028282,11206.498759982218,11079.721663203312
2011-12-16,10223.884533169747,10580.669337735793,10371.242547711268,12001.857635623983,11370.531713641501,10225.368974750436,11557.529677971694,12473.994800049879,10779.2927828121,11235.536218289817,11326.726068861408,11290.818710870317,11231.658142524062,11097.31629542914
2011-12-19,10175.61870070784,10531.283671387111,10365.122941252466,12012.062705215389,11325.91990014781,10146.930748257068,11545.821015419862,12502.884453035062,10679.336837867606,11142.866068771842,11242.306967196007,11213.881558501009,11160.64357878848,11031.521706488504
2011-12-20,10284.050874757968,10644.411194049913,10437.793797560795,12000.197843617781,11458.345438104567,10296.518070361057,11582.546573973623,12476.975570088778,10897.253310424036,11351.329511700438,11436.508572978428,11393.824568049691,11327.869344441147,11186.562025238776
2011-12-21,10248.720707484072,10606.251068172884,10375.29839082503,11985.729919029469,11449.403345475675,10180.713868233865,11572.401739723718,12347.143999010814,10826.475372983647,11283.322020493946,11372.88700569742,11334.636338762402,11272.650141370204,11135.173491786023
2011-12-22,10275.000500273773,10648.301678693626,10419.847885069868,11974.02517948838,11493.054450894968,10263.052800875746,11597.739863801684,12403.659743404021,10878.72715281232,11336.09625447044,11424.63901848659,11384.978622083,11321.648647850216,11182.648347721128
2011-12-23,10318.60029496401,10689.370332639799,10431.413037845889,11959.682429674005,11526.30090793479,10312.680993346285,11598.32698531028,12373.755416074775,10966.501265706567,11419.154602566474,11501.192719613353,11455.168211189077,11386.2013843635,11241.881813553056
2011-12-27,10369.42656448024,10753.624822115395,10452.965505110278,11939.210674497392,11539.932983274013,10444.585847950639,11614.544022879905,12410.88843587578,11063.995696455695,11515.746788688655,11593.613902894369,11543.003088794072,11469.827271649014,11321.231710849686
2011-12-28,10335.513897497933,10710.479186837005,10438.498303266088,11910.717767130347,11491.375483052308,10398.99958015365,11624.830498341917,12469.675656559852,11001.452466710409,11453.563709279344,11533.609585765946,11485.570017187236,11414.818852019345,11268.772591557177
2011-12-29,10375.63469645638,10769.433173412155,10466.15354633591,11906.2955723345,11541.243634693177,10458.15479916522,11661.473160278905,12511.361921257385,11071.05979316129,11524.530488914941,11603.746208649456,11554.24716665242,11482.040495200434,11334.221592896274
2011-12-30,10373.254208529652,10764.467700056379,10481.015777803308,11952.00449958056,11533.167087624952,10448.687039500017,11662.288035767426,12528.612831155035,11069.52764503183,11522.187039759618,11600.763722077398,11550.763043874344,11478.153256980244,11330.035225340338
2012-01-03,10516.455958969307,10890.934381579096,10537.061663720322,11971.078988186882,11592.622715992178,10562.797919433604,11639.117229263033,12497.43598857582,11284.069238318873,11733.779300151575,11802.811864133037,11741.696599437353,11658.413769509836,11499.246268630432
2012-01-04,10574.75668123169,10929.876875562459,10549.794214194577,11960.336980027381,11599.865251862222,10618.538947587325,11600.881304433458,12459.405558473218,11371.137985119442,11817.802370934778,11881.254062344547,11814.114815111101,11725.120070470006,11560.252080796274
2012-01-05,10564.569368581964,10927.769294806538,10558.534868900213,11968.188470109466,11618.89294772974,10582.100247383172,11611.157160627983,12498.510514856778,11357.086057965736,11804.752444171254,11869.60890597599,11803.921857516127,11716.306491874546,11552.77987084062
2012-01-06,10582.866411703271,10929.338030752582,10566.047512814726,11980.217892407889,11614.370895839587,10593.726877239986,11620.079556429366,12561.7566582654,11383.223230187918,11828.642953614686,11890.53901055025,11821.845574816483,11731.394775786586,11565.14334971783
2012-01-09,10458.146411858363,10811.171995082275,10481.367944980344,11988.077132243705,11607.831884495976,10444.54390709952,11623.362326600529,12540.419712426754,11204.935233727045,11650.845907979097,11718.856692344776,11657.741905953075,11574.704713016908,11416.40302535422
2012-01-10,10485.601595861359,10853.751396324687,10498.511122088583,11999.847830511366,11657.492688504719,10496.264831481807,11640.778595366643,12521.3580039439,11248.978399941352,11696.225410823912,11764.204097152879,11702.666534060521,11619.222186489964,11460.312873931101
2012-01-11,10485.72185519987,10870.21274855766,10525.017645834558,12030.792158004042,11676.949844697643,10542.394185893876,11675.753823182178,12617.109891768047,11249.575871146362,11698.611148023314,11768.366378881652,11708.548592027906,11626.779722924954,11469.449541387841
2012-01-12,10530.666582814396,10895.23022172136,10534.618275861549,12025.946957197631,11678.315527561608,10577.59217796394,11672.420599278003,12574.108028551167,11300.304756879099,11748.640079030178,11815.985232770134,11753.262940275303,11668.569492828607,11508.127641113837
2012-01-13,10518.652135765193,10748.287032092492,10513.534371248756,12036.13239968482,11635.023499081277,10155.438183059716,11691.18765603446,12667.30342328055,11287.461891582907,11720.701870809387,11773.234459647372,11696.18134039065,11597.463097305996,11423.777803259498
2012-01-17,10586.814556234423,10901.891936802842,10561.956196244937,12050.6040748888,11689.922455726419,10550.197974205641,11704.615765504883,12675.01464276664,11360.606312897922,11806.306141146375,11868.431583283425,11799.90432078369,11709.372109610982,11542.89293526275
2012-01-18,10663.502529815929,10960.456828586926,10620.95934162098,12061.64236984633,11738.857439171601,10622.683726139763,11707.758937201239,12574.456788257081,11442.899421194634,11889.617952808869,11949.960334499707,11878.753706895332,11785.424860692301,11615.703878961584
2012-01-19,10689.040158623158,10969.520752445314,10637.55842543581,12045.540777114587,11753.408395652697,10641.446925523815,11674.193092094916,12470.737022075458,11470.30359886326,11916.227790309205,11974.83159171406,11901.614296421909,11806.258005926746,11634.415784713232
2012-01-20,10577.898874421968,10839.588252288142,10447.174820787122,12036.830960532514,11738.568061516376,10460.635589127263,11643.004393582585,12414.77297865818,11351.038982654782,11790.602102145944,11846.85510538363,11772.697914903916,11676.665930900106,11505.02623685173
2012-01-23,10612.316399123549,10876.475811317612,10476.922596125356,12020.598797306962,11754.402837610101,10507.402411794425,11620.489002908434,12355.816839212583,11387.972089050683,11829.476287761476,11886.428060963257,11812.533245556671,11716.682244824697,11544.952826275767
2012-01-24,10526.276803795197,10777.355298020357,10436.533626481289,12023.3914593706,11746.66179439762,10463.826779376544,11621.728398342631,12373.461847561526,11295.643847665666,11732.378767154145,11787.667572540835,11713.198655408576,11616.975260620999,11445.546072970174
2012-01-25,10700.57617410338,10933.93003215794,10542.356956655149,12069.409105007608,11825.482691560817,10614.18794380821,11674.28455240014,12365.210026269999,11482.682783328442,11924.267260665074,11978.0669963952,11900.01700193337,11799.900216232722,11623.447764578403
2012-01-26,10661.945448242655,10910.471986416274,10537.747319109276,12083.383381467958,11828.035892710708,10672.018225985355,11698.498246050634,12436.330850581531,11441.228532311385,11882.965390578172,11938.333230089012,11862.28516070205,11764.214171691418,11589.997866542582
2012-01-27,10700.0422285882,10949.665793140273,10597.4857954014,12098.099505461236,11837.242085632834,10761.675275916967,11711.866135284557,12431.135284704495,11482.109811660877,11925.447827237102,11981.036479914197,11904.739111222862,11806.339671502064,11631.521731591913
2012-01-30,10741.830979156259,10991.765791770842,10625.391574427545,12104.603402910023,11825.25628091462,10827.337887895876,11722.830510063259,12507.726755254127,11526.952907852832,11971.967660450544,12027.718194560104,11951.068934774223,11852.232390481093,11676.681551130037
2012-01-31,10748.660591472777,11013.798697707747,10666.425419790898,12121.94060015839,11840.88690290909,10818.431630024525,11738.78598657635,12579.632805587207,11534.281697488801,11981.217987099033,12038.657826725783,11963.574589793796,11866.256832803036,11692.096451406409
2012-02-01,10823.517987836602,11076.472266115125,10654.716786971696,12105.279083384436,11881.798929191069,10858.813168123532,11770.28223895108,12449.015625673772,11614.610431422954,12063.133067698047,12119.432031386277,12042.320993367668,11942.85104562183,11766.077053620658
2012-02-02,10861.605064442067,11091.758700587274,10673.6916056798,12129.098042286872,11899.887863420909,10904.733665330288,11768.290487986893,12494.404877125711,11655.481297784645,12103.002141204839,12156.895026079415,12076.969970147464,11974.659439720583,11794.898058784695
2012-02-03,11016.396808829673,11208.549906354338,10744.360776372323,12191.643666795213,11955.50558382813,11066.699734088192,11817.671314313593,12699.058263298923,11821.586792419834,12270.980969813985,12321.097372575367,12235.598053259937,12127.487054799492,11941.041712253435
2012-02-06,11074.171952210028,11246.261736359229,10790.589252503281,12199.700350592015,11950.57957509638,11144.054373795398,11792.637282982945,12668.71248879696,11883.584729110706,12333.508348338495,12382.045266672018,12294.002907660124,12182.935120763876,11993.234118835157
2012-02-07,11099.510708452159,11284.978138147024,10813.448986188694,12185.209403202098,11958.885733016494,11171.651634078748,11812.229702869341,12664.37747600271,11910.775498590634,12363.152497912344,12413.235592723317,12326.390806565632,12216.43694584897,12027.598912836935
2012-02-08,11179.91610062276,11370.274570595615,10884.65269271579,12217.641474876875,11984.192390353262,11266.252179907253,11832.608556737434,12703.596520086887,11997.057732121064,12453.100415923285,12503.93810751027,12416.846241480323,12306.469531800683,12116.617897254971
2012-02-09,11271.931722954097,11479.420876104092,10983.320069057481,12237.074241657914,11994.698988415168,11390.154489755721,11843.313383689998,12683.0876344041,12095.798789158567,12557.299519805838,12610.274160701872,12524.141300172414,12414.495359564624,12224.635769442617
2012-02-10,11163.854853162005,11411.204546701943,10954.94864433264,12211.847122994997,11951.83170274394,11277.790182378147,11785.424270533478,12557.322296419034,11979.82256583696,12441.476317069055,12498.559609690561,12417.755667366737,12313.56700139527,12129.707623959795
2012-02-13,11276.05727954718,11512.761079432388,11035.263646426512,12269.756743124157,11997.850930297425,11391.128638432932,11859.393738958564,12692.238539047947,12100.22588326007,12565.24202491378,12621.566251774682,12538.64872198025,12432.006763658097,12244.935823067224
2012-02-14,11313.909762689582,11548.931008737614,11067.188972240614,12284.48277575348,12005.894081833354,11460.955029632614,11859.873240982328,12640.858122879408,12140.845009689672,12607.151799404093,12663.392316752408,12579.930222377709,12472.669669234965,12284.723384452878
2012-02-15,11224.335908195984,11447.271799225067,10980.542155387862,12245.541674037355,11987.60520204633,11370.977177353285,11798.261891530055,12551.73836216061,12044.724189642688,12506.223007637307,12560.892148730107,12476.991870519343,12369.504755561402,12182.025418708123
2012-02-16,11407.404048371654,11622.705558020618,11073.515022623073,12314.081095219419,12051.289039622246,11549.369751471006,11893.50074947078,12730.81511777097,12241.172805789029,12708.967333066252,12763.286054690223,12676.805463152494,12566.379145056959,12374.716481142534
2012-02-17,11413.902581772429,11623.41835694613,11060.276869070585,12307.48165078235,12048.05611077062,11564.03657495471,11912.033837407484,12720.194054210813,12248.146317904997,12715.561278223882,12769.259362747069,12682.093873979467,12570.982678898912,12378.620734745866
2012-02-21,11473.877932450567,11696.203780382843,11148.668655710355,12301.582286260078,12043.92541259431,11657.905514667276,11913.28474071359,12637.651897412978,12312.505275352785,12783.754873133186,12839.125326978288,12752.857855558932,12642.489568478235,12450.354741646519
2012-02-22,11408.812208566407,11649.943155066185,11124.051051364348,12292.251050818619,12043.103876531603,11592.340637586025,11891.437054311631,12549.693193509198,12242.683888609372,12713.454302867862,12770.722926772974,12687.10292243023,12579.472633916992,12390.43147680358
