signal_date,CONVICTION_RAW,eligible_asset_count,source,recorded_at_utc
2025-08-15,0.2672296011417024,41,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-08-22,0.2701047076445749,43,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-08-29,0.2803300481529511,40,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-09-05,0.2672032928133233,42,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-09-12,0.2619021222546738,42,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-09-19,0.2597744182248687,41,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-09-26,0.2630084442264493,42,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-10-03,0.2578073009093062,41,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-10-10,0.2678150559893139,30,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-10-17,0.2558765049886288,38,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-10-24,0.252197952524569,41,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-10-31,0.2714690416842176,38,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-11-07,0.2681182572396725,38,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-11-14,0.2585355061126814,38,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-11-21,0.2620916505608257,29,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-11-28,0.2557638091099289,35,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-12-05,0.2784169361826981,34,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-12-12,0.2767227951412259,29,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-12-19,0.2676955872934441,33,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-12-26,0.2717450609509959,35,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2026-01-02,0.2648544746088057,30,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2026-01-09,0.268965783311916,36,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2026-01-16,0.2556767337847678,38,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-01-23,0.2505053715521297,35,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-01-30,0.2527482510867668,32,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-02-06,0.2547960133192066,35,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-02-13,0.2620533280462748,33,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-02-20,0.2514761391440709,38,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-02-27,0.2691260029122945,32,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-03-06,0.2671588525296581,27,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-03-13,0.2719568464219819,20,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-04-10,0.2547884608127174,26,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-04-17,0.2735537517099154,39,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-04-24,0.277585267603677,34,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-05-01,0.268384522841464,35,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-05-08,0.2643278330584386,29,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-05-15,0.2679004790340373,25,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-05-22,0.25239470490105,31,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-05-29,0.2615007966845735,25,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-06-05,0.2741650387811928,29,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-06-12,0.2777390626022225,32,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-06-18,0.2819704035315443,32,HISTORICAL_SEED,2026-07-17T08:49:08.874574+00:00
2026-06-26,0.2788753568289329,33,HISTORICAL_SEED,2026-07-17T08:49:08.874574+00:00
2026-07-02,0.2759468669637268,32,HISTORICAL_SEED,2026-07-17T08:49:08.874574+00:00
2026-07-10,0.2709613414502652,31,HISTORICAL_SEED,2026-07-17T08:49:08.874574+00:00
2026-07-14,0.2623012436514343,31,HISTORICAL_SEED,2026-07-17T08:49:08.874574+00:00
2026-07-17,0.24891180792121,30,PROSPECTIVE,2026-07-18T09:14:07.595739+00:00
