,equity
2018-01-04,16425.931398161596
2018-01-05,16568.302678958324
2018-01-08,16652.19909251738
2018-01-09,16651.36217313451
2018-01-10,16653.631129064976
2018-01-11,16715.530537042927
2018-01-12,16831.624727580565
2018-01-16,16726.594761985914
2018-01-17,16943.273847606266
2018-01-18,16929.921499053835
2018-01-19,17020.553827309846
2018-01-22,17132.586118411924
2018-01-23,17229.23750618993
2018-01-24,17151.293141074282
2018-01-25,17121.301035200162
2018-01-26,17332.163648067686
2018-01-29,17307.338493112464
2018-01-30,17131.722935564365
2018-01-31,17284.302394315793
2018-02-01,17154.134691804626
2018-02-02,16798.05768555554
2018-02-05,16022.392650986967
2018-02-06,16426.45767786298
2018-02-07,16395.928335068893
2018-02-08,15763.79702151664
2018-02-09,16209.360880839913
2018-02-12,16289.656078075923
2018-02-13,16412.40211258055
2018-02-14,16739.500104025374
2018-02-15,16929.275139284564
2018-02-16,16864.058040227686
2018-02-20,16911.335594533637
2018-02-21,16755.220073387914
2018-02-22,16749.385011244056
2018-02-23,16977.47174947062
2018-02-26,17113.21154645103
2018-02-27,16986.020736639144
2018-02-28,16849.68862640889
2018-03-01,16601.244236849372
2018-03-02,16687.30125649642
2018-03-05,16730.39833089987
2018-03-06,16848.37392080689
2018-03-07,16859.78585209907
2018-03-08,16894.42673023874
2018-03-09,17107.969594114897
2018-03-12,17200.928818691886
2018-03-13,17046.147743504313
2018-03-14,17040.14158393791
2018-03-15,17042.755867949378
2018-03-16,17054.627586342787
2018-03-19,16787.846598657063
2018-03-20,16913.616249407118
2018-03-21,16900.419799264855
2018-03-22,16618.037413490918
2018-03-23,16333.505930830384
2018-03-26,16886.82463588815
2018-03-27,16352.310598169372
2018-03-28,16239.505270638152
2018-03-29,16533.448079457445
2018-04-02,16198.529508648848
2018-04-03,16318.692549176634
2018-04-04,16525.023406554617
2018-04-05,16574.632429655605
2018-04-06,16300.61855422246
2018-04-09,16323.641715983393
2018-04-10,16418.005308460342
2018-04-11,16411.87138628931
2018-04-12,16418.11524256087
