,equity
165,21392.472775629198
166,21467.955699647217
167,22159.44961907371
168,21960.902726847573
169,21926.911877783856
170,22486.797582842886
171,22779.235338074857
172,22949.05368632773
173,22954.58558205737
174,22632.947055383447
175,23194.710546821647
176,23290.28554753886
177,23458.975966525246
178,23928.179665237552
179,24061.136036934815
180,24178.085886981207
181,24200.84097442554
182,24787.9804727539
183,25097.414276068554
184,25027.50741712613
185,25266.51534310595
186,25389.894172379023
187,25589.212017305803
188,25105.016913133284
189,24365.994431449013
190,24167.232478174737
191,22597.601984804027
192,23060.270344976663
193,23550.828947464204
194,22864.140539695843
195,21868.857517261087
196,22993.264738674545
197,21361.101492617505
198,21317.19538956067
199,19690.911526631116
200,20783.116133339943
201,20933.571766521294
202,21474.981874954505
203,22556.75616450224
204,22770.439736734752
205,23627.260580313992
206,23536.373656266973
207,24172.99974837841
208,24337.26555396681
209,24211.575845546427
210,23733.00212542496
211,24607.83794442755
212,24825.29844857688
213,25015.622231020243
214,25596.784878407707
215,25567.42791823623
216,25945.24614283722
217,25918.566529996868
218,25996.0173937599
219,26159.344964319534
220,25828.235170665463
221,25068.419300195637
222,26285.276758035652
223,26118.05804711715
224,26748.130935023728
225,26828.104159802955
226,26685.674567959526
227,27426.8879015077
228,27024.126917289144
229,27485.421361453355
230,26357.1858787011
231,26979.06137376951
232,26818.013194300554
233,25925.344835278112
234,26535.66984849749
235,27233.28521343828
236,27521.802495046864
237,27479.559529527894
238,26945.868059112094
239,26924.808241475326
240,27344.041236538553
241,27899.864818848568
242,28376.28791892961
243,28654.012555744375
244,29093.48828710655
245,29481.01554704076
246,29685.35563324069
247,29766.30824331146
248,29853.11841847544
249,30245.387995841884
250,30848.294506138514
251,31077.700994268627
252,31115.531977812632
253,31629.32312939276
254,32021.76731428181
255,31816.84680803834
256,31719.596780014097
257,32962.03903461654
258,34023.67780267427
259,33719.77659604748
260,31004.18447098946
261,30940.295221051278
262,31460.85808844279
263,30632.680432789537
264,33831.572418542884
265,33561.444021981995
266,38027.967343945056
267,38566.93830473813
268,37863.09141870157
269,39672.22701559494
270,39386.62831492889
271,39677.68691055384
272,39527.56564897163
273,41484.67399270913
274,39813.71889803356
275,41503.367311907445
276,40351.721687015175
277,43347.984104642
278,42646.24901921927
279,43097.175470682414
280,43960.06074871822
281,45271.01922921643
282,45401.44248437334
283,45557.08084395105
284,46594.19146414461
285,45919.14764113693
286,45252.22712492679
287,44164.40011689846
288,44793.957601746006
289,44659.042193587964
290,46216.09480295548
291,45819.66387559972
292,45655.7385317466
293,43482.13349856055
294,46614.749208105175
295,45882.70729530211
296,45537.300653433536
297,46722.2518054653
298,47798.35390613946
299,47576.529816473
300,47845.14448879955
301,49844.8041808258
302,49588.66265224334
303,50867.3971847613
304,48688.80111907467
305,50463.18198408619
306,51334.702551094844
307,50869.82370973399
308,50072.51468018403
309,49710.232653242565
310,50615.49817391518
311,50141.764953784404
312,50831.547024431755
313,53359.99912883513
314,54065.65203379536
315,53819.53127251064
316,54074.024426208576
317,54682.15707233937
318,53942.91875371309
319,54202.30827970542
320,54692.59181968511
321,55285.580249313185
322,55719.38340547934
323,55035.9945193847
324,56621.67846474843
325,57956.28814301487
326,57971.599831437554
327,56505.83308648041
328,58859.587692059846
329,59196.35762308868
330,60281.01612532635
331,60715.286406819476
332,60403.907944627485
333,61635.25471183183
334,61645.2760170907
335,60419.54671324253
336,59801.52399110101
337,61426.88477570309
338,60444.12625184175
339,61604.780710461215
340,62905.30348763382
341,64618.58285091298
342,66270.11958759271
343,68343.59544993915
344,68322.73582827386
345,68646.19206533118
346,67346.54945796763
347,65038.15949016443
348,67247.28367842843
349,66260.14742831989
350,69034.57367386203
351,67752.63511020824
352,67876.409680635
353,64351.18814242412
354,66184.11892530865
355,68445.11495520805
356,66518.80915852707
357,65808.33742239694
358,67095.15894623342
359,67567.29220113692
360,66714.99221901309
361,71198.26805456818
362,73146.77761832255
363,72642.62931353254
364,71725.63066581247
365,67370.10811497117
366,66005.53467512524
367,67165.05031492977
368,66759.51976185995
369,63968.16636775306
370,68756.74233167969
371,68298.53826508386
372,63962.83087583069
373,61778.247412895915
374,64270.92757000076
375,61562.38170975432
376,64710.43611883049
377,65035.26407853206
378,66187.5441202255
379,69184.09096017004
380,69627.12024767345
381,72081.09771009778
382,71733.9001972121
383,69965.63955939055
384,67638.72185431524
385,69886.06287383642
386,65893.26692063907
387,63265.201739954486
388,62170.92433630154
389,62579.57742977622
390,61414.29423332275
391,63932.98369216757
392,64527.55794111157
393,63069.53260317243
394,67625.3855153432
395,67553.08379643051
396,68842.72044986901
397,69856.43329499781
398,67198.80309396626
399,66070.81630840535
400,66028.89988795646
401,66020.98237923531
402,66192.92151377845
403,68237.50390199364
404,68210.14983221189
405,70731.55989464576
406,73664.9423107363
407,73237.61836202098
408,72252.22740274934
