signal_date,execution_date,holding_start,sum_weights,cash_weight,turnover,cost,equity_after_cost
2016-09-02,2016-09-06,2016-09-06,1.0,0,0.333333,16.52,24763.42
2016-09-09,2016-09-12,2016-09-12,1.0,0,0.333333,14.882,22308.13
2016-09-16,2016-09-19,2016-09-19,1.0,0,0.333333,15.1979,22781.62
2016-09-23,2016-09-26,2016-09-26,1.0,0,0.333333,15.2693,22888.75
2016-09-30,2016-10-03,2016-10-03,1.0,0,0.0,0.0,23791.08
2016-10-07,2016-10-10,2016-10-10,1.0,0,0.0,0.0,23659.06
2016-10-14,2016-10-17,2016-10-17,1.0,0,0.333333,15.6674,23485.36
2016-10-21,2016-10-24,2016-10-24,1.0,0,0.333333,15.5599,23324.26
2016-10-28,2016-10-31,2016-10-31,1.0,0,0.333333,15.6555,23467.6
2016-11-04,2016-11-07,2016-11-07,1.0,0,0.333333,14.9169,22360.5
2016-11-11,2016-11-14,2016-11-14,1.0,0,0.333333,17.3012,25934.43
2016-11-18,2016-11-21,2016-11-21,1.0,0,0.0,0.0,27071.97
2016-11-25,2016-11-28,2016-11-28,1.0,0,0.0,0.0,27680.18
2016-12-02,2016-12-05,2016-12-05,1.0,0,0.0,0.0,27643.42
2016-12-09,2016-12-12,2016-12-12,1.0,0,0.333333,19.4945,29222.32
2016-12-16,2016-12-19,2016-12-19,1.0,0,0.0,0.0,30251.63
2016-12-23,2016-12-27,2016-12-27,1.0,0,0.0,0.0,32019.27
2016-12-30,2017-01-03,2017-01-03,1.0,0,0.0,0.0,31295.86
2017-01-06,2017-01-09,2017-01-09,1.0,0,0.0,0.0,31200.75
2017-01-13,2017-01-17,2017-01-17,1.0,0,0.0,0.0,30698.77
2017-01-20,2017-01-23,2017-01-23,1.0,0,0.0,0.0,29779.79
2017-01-27,2017-01-30,2017-01-30,1.0,0,0.0,0.0,31772.21
2017-02-03,2017-02-06,2017-02-06,1.0,0,0.0,0.0,33550.79
2017-02-10,2017-02-13,2017-02-13,1.0,0,0.333333,23.0723,34585.4
2017-02-17,2017-02-21,2017-02-21,1.0,0,0.333333,22.5492,33801.24
2017-02-24,2017-02-27,2017-02-27,1.0,0,0.333333,23.1483,34699.32
2017-03-03,2017-03-06,2017-03-06,1.0,0,0.333333,22.8184,34204.83
2017-03-10,2017-03-13,2017-03-13,1.0,0,0.333333,23.5558,35310.11
2017-03-17,2017-03-20,2017-03-20,1.0,0,0.333333,23.1245,34663.66
2017-03-24,2017-03-27,2017-03-27,1.0,0,0.0,0.0,34799.45
2017-03-31,2017-04-03,2017-04-03,1.0,0,0.0,0.0,35766.99
2017-04-07,2017-04-10,2017-04-10,1.0,0,0.0,0.0,34862.3
2017-04-21,2017-04-24,2017-04-24,1.0,0,0.333333,22.8753,34290.11
2017-04-28,2017-05-01,2017-05-01,1.0,0,0.0,0.0,34705.82
2017-05-05,2017-05-08,2017-05-08,1.0,0,0.666667,43.4873,32571.97
2017-05-12,2017-05-15,2017-05-15,1.0,0,0.666667,43.8714,32859.7
2017-05-19,2017-05-22,2017-05-22,1.0,0,0.333333,22.2317,33325.37
2017-05-26,2017-05-30,2017-05-30,1.0,0,0.333333,22.839,34235.65
2017-06-02,2017-06-05,2017-06-05,1.0,0,0.0,0.0,34540.8
2017-06-09,2017-06-12,2017-06-12,1.0,0,0.0,0.0,34399.86
2017-06-16,2017-06-19,2017-06-19,1.0,0,0.333333,23.0211,34508.7
2017-06-23,2017-06-26,2017-06-26,1.0,0,0.333333,23.205,34784.25
2017-06-30,2017-07-03,2017-07-03,1.0,0,0.333333,22.0074,32989.14
2017-07-07,2017-07-10,2017-07-10,1.0,0,0.0,0.0,33446.13
2017-07-14,2017-07-17,2017-07-17,1.0,0,0.333333,23.442,35139.51
2017-07-21,2017-07-24,2017-07-24,1.0,0,0.333333,23.8002,35676.56
2017-07-28,2017-07-31,2017-07-31,1.0,0,0.333333,23.4857,35205.05
2017-08-04,2017-08-07,2017-08-07,1.0,0,0.333333,23.0949,34619.21
2017-08-11,2017-08-14,2017-08-14,1.0,0,0.333333,21.9755,32941.33
2017-08-18,2017-08-21,2017-08-21,1.0,0,0.333333,22.1164,33152.56
2017-08-25,2017-08-28,2017-08-28,1.0,0,0.333333,22.2045,33284.56
2017-09-01,2017-09-05,2017-09-05,1.0,0,0.666667,45.8529,34343.82
2017-09-08,2017-09-11,2017-09-11,1.0,0,0.333333,22.4967,33722.59
2017-09-15,2017-09-18,2017-09-18,1.0,0,0.333333,22.5881,33859.55
2017-09-22,2017-09-25,2017-09-25,1.0,0,0.333333,22.3157,33451.21
2017-09-29,2017-10-02,2017-10-02,1.0,0,0.0,0.0,33491.82
2017-10-06,2017-10-09,2017-10-09,1.0,0,0.333333,22.4641,33673.74
2017-10-13,2017-10-16,2017-10-16,1.0,0,0.333333,23.262,34869.74
2017-10-20,2017-10-23,2017-10-23,1.0,0,0.333333,23.3804,35047.2
2017-10-27,2017-10-30,2017-10-30,1.0,0,0.333333,23.4075,35087.86
2017-11-03,2017-11-06,2017-11-06,1.0,0,0.333333,23.7963,35670.6
2017-11-10,2017-11-13,2017-11-13,1.0,0,0.333333,23.6615,35468.65
2017-11-17,2017-11-20,2017-11-20,1.0,0,0.333333,23.4041,35082.74
2017-11-24,2017-11-27,2017-11-27,1.0,0,0.0,0.0,35875.26
2017-12-01,2017-12-04,2017-12-04,1.0,0,0.0,0.0,34656.36
2017-12-08,2017-12-11,2017-12-11,1.0,0,0.333333,22.842,34240.14
2017-12-15,2017-12-18,2017-12-18,1.0,0,0.0,0.0,34474.66
2017-12-22,2017-12-26,2017-12-26,1.0,0,0.0,0.0,34830.23
2017-12-29,2018-01-02,2018-01-02,1.0,0,0.333333,23.1767,34741.92
2018-01-05,2018-01-08,2018-01-08,1.0,0,0.333333,23.9008,35827.35
2018-01-12,2018-01-16,2018-01-16,1.0,0,0.333333,24.6061,36884.49
2018-01-19,2018-01-22,2018-01-22,1.0,0,0.333333,24.681,36996.8
2018-01-26,2018-01-29,2018-01-29,1.0,0,0.0,0.0,38890.05
2018-02-02,2018-02-05,2018-02-05,1.0,0,0.333333,25.4449,38141.89
2018-02-09,2018-02-12,2018-02-12,1.0,0,0.666667,47.4164,35514.88
2018-02-16,2018-02-20,2018-02-20,1.0,0,0.0,0.0,37616.06
2018-02-23,2018-02-26,2018-02-26,1.0,0,0.0,0.0,38369.57
2018-03-02,2018-03-05,2018-03-05,1.0,0,0.333333,25.2144,37796.4
2018-03-09,2018-03-12,2018-03-12,1.0,0,0.333333,26.2417,39336.34
2018-03-16,2018-03-19,2018-03-19,1.0,0,0.0,0.0,39298.36
2018-03-23,2018-03-26,2018-03-26,1.0,0,0.333333,24.5376,36781.84
2018-04-06,2018-04-09,2018-04-09,1.0,0,0.333333,23.6454,35444.49
2018-04-13,2018-04-16,2018-04-16,1.0,0,0.333333,24.11,36140.85
2018-04-20,2018-04-23,2018-04-23,1.0,0,0.333333,24.7012,37027.17
2018-04-27,2018-04-30,2018-04-30,1.0,0,0.333333,25.1336,37675.26
2018-05-04,2018-05-07,2018-05-07,1.0,0,0.666667,49.9094,37382.17
2018-05-11,2018-05-14,2018-05-14,1.0,0,0.0,0.0,38357.28
2018-05-18,2018-05-21,2018-05-21,1.0,0,0.333333,25.2609,37866.16
2018-05-25,2018-05-29,2018-05-29,1.0,0,0.666667,49.4042,37003.73
2018-06-01,2018-06-04,2018-06-04,1.0,0,0.0,0.0,38270.7
2018-06-08,2018-06-11,2018-06-11,1.0,0,0.333333,26.3387,39481.69
2018-06-15,2018-06-18,2018-06-18,1.0,0,0.666667,52.9084,39628.4
2018-06-22,2018-06-25,2018-06-25,1.0,0,0.333333,26.3457,39492.22
2018-06-29,2018-07-02,2018-07-02,1.0,0,0.333333,25.2599,37864.58
2018-07-06,2018-07-09,2018-07-09,1.0,0,0.0,0.0,39667.45
2018-07-13,2018-07-16,2018-07-16,1.0,0,0.0,0.0,40643.6
2018-07-20,2018-07-23,2018-07-23,1.0,0,0.0,0.0,41014.05
2018-07-27,2018-07-30,2018-07-30,1.0,0,0.666667,54.4681,40796.58
2018-08-03,2018-08-06,2018-08-06,1.0,0,0.0,0.0,40885.01
2018-08-10,2018-08-13,2018-08-13,1.0,0,0.333333,27.801,41673.76
2018-08-17,2018-08-20,2018-08-20,1.0,0,0.0,0.0,42695.19
2018-08-24,2018-08-27,2018-08-27,1.0,0,0.0,0.0,45802.99
2018-08-31,2018-09-04,2018-09-04,1.0,0,0.0,0.0,47409.31
2018-09-07,2018-09-10,2018-09-10,1.0,0,0.333333,32.3667,48517.7
2018-09-14,2018-09-17,2018-09-17,1.0,0,0.0,0.0,51636.8
2018-09-21,2018-09-24,2018-09-24,1.0,0,0.0,0.0,50353.36
2018-09-28,2018-10-01,2018-10-01,1.0,0,0.0,0.0,51089.64
2018-10-05,2018-10-08,2018-10-08,1.0,0,0.0,0.0,50171.49
2018-10-12,2018-10-15,2018-10-15,1.0,0,0.0,0.0,48771.68
2018-10-19,2018-10-22,2018-10-22,1.0,0,0.0,0.0,47174.12
2018-10-26,2018-10-29,2018-10-29,1.0,0,0.333333,28.0489,42045.24
2018-11-02,2018-11-05,2018-11-05,1.0,0,0.0,0.0,41882.04
2018-11-09,2018-11-12,2018-11-12,1.0,0,0.666667,57.3871,42982.92
2018-11-16,2018-11-19,2018-11-19,1.0,0,0.333333,27.6285,41415.09
2018-11-23,2018-11-26,2018-11-26,1.0,0,0.333333,26.9986,40470.93
2018-11-30,2018-12-03,2018-12-03,1.0,0,0.333333,28.161,42213.36
2018-12-07,2018-12-10,2018-12-10,1.0,0,0.333333,26.9923,40461.52
2018-12-14,2018-12-17,2018-12-17,1.0,0,0.333333,26.5767,39838.48
2018-12-21,2018-12-24,2018-12-24,1.0,0,0.0,0.0,37812.38
2018-12-28,2018-12-31,2018-12-31,1.0,0,0.333333,26.1542,39205.17
2019-01-04,2019-01-07,2019-01-07,1.0,0,0.0,0.0,38386.42
2019-01-11,2019-01-14,2019-01-14,1.0,0,0.0,0.0,39695.72
2019-01-18,2019-01-22,2019-01-22,1.0,0,0.333333,27.1283,40665.31
2019-01-25,2019-01-28,2019-01-28,1.0,0,0.333333,27.3237,40958.19
2019-02-01,2019-02-04,2019-02-04,1.0,0,0.333333,28.055,42054.39
2019-02-08,2019-02-11,2019-02-11,1.0,0,0.333333,27.6252,41410.19
2019-02-15,2019-02-19,2019-02-19,1.0,0,0.0,0.0,41807.89
2019-02-22,2019-02-25,2019-02-25,1.0,0,0.333333,27.774,41633.16
2019-03-01,2019-03-04,2019-03-04,1.0,0,0.0,0.0,41093.85
2019-03-08,2019-03-11,2019-03-11,1.0,0,0.0,0.0,40286.24
2019-03-15,2019-03-18,2019-03-18,1.0,0,0.333333,28.0691,42075.64
2019-03-22,2019-03-25,2019-03-25,1.0,0,0.333333,28.4448,42638.8
2019-03-29,2019-04-01,2019-04-01,1.0,0,0.0,0.0,42550.42
2019-04-05,2019-04-08,2019-04-08,1.0,0,0.333333,30.7679,46121.01
2019-04-12,2019-04-15,2019-04-15,1.0,0,0.0,0.0,45595.23
2019-04-26,2019-04-29,2019-04-29,1.0,0,0.333333,30.0465,45039.72
2019-05-03,2019-05-06,2019-05-06,1.0,0,0.333333,30.6468,45939.52
2019-05-10,2019-05-13,2019-05-13,1.0,0,0.333333,29.0688,43574.11
2019-05-17,2019-05-20,2019-05-20,1.0,0,0.333333,28.5973,42867.29
2019-05-24,2019-05-28,2019-05-28,1.0,0,0.333333,27.8454,41740.21
2019-05-31,2019-06-03,2019-06-03,1.0,0,0.0,0.0,41562.19
2019-06-07,2019-06-10,2019-06-10,1.0,0,0.0,0.0,45888.81
2019-06-14,2019-06-17,2019-06-17,1.0,0,0.0,0.0,45277.28
2019-06-21,2019-06-24,2019-06-24,1.0,0,0.333333,30.3402,45479.99
2019-06-28,2019-07-01,2019-07-01,1.0,0,0.333333,30.6366,45924.31
2019-07-05,2019-07-08,2019-07-08,1.0,0,0.333333,31.371,47025.14
2019-07-12,2019-07-15,2019-07-15,1.0,0,0.666667,64.3738,48215.98
2019-07-19,2019-07-22,2019-07-22,1.0,0,0.333333,31.3765,47033.31
2019-07-26,2019-07-29,2019-07-29,1.0,0,0.333333,31.6801,47488.48
2019-08-02,2019-08-05,2019-08-05,1.0,0,0.333333,29.5563,44304.87
2019-08-09,2019-08-12,2019-08-12,1.0,0,0.0,0.0,46848.54
2019-08-16,2019-08-19,2019-08-19,1.0,0,0.666667,60.4582,45283.22
2019-08-23,2019-08-26,2019-08-26,1.0,0,0.333333,29.8099,44685.04
2019-08-30,2019-09-03,2019-09-03,1.0,0,0.0,0.0,46793.17
2019-09-06,2019-09-09,2019-09-09,1.0,0,0.333333,32.4379,48624.41
2019-09-13,2019-09-16,2019-09-16,1.0,0,0.333333,32.4895,48701.74
2019-09-20,2019-09-23,2019-09-23,1.0,0,0.0,0.0,47661.44
2019-09-27,2019-09-30,2019-09-30,1.0,0,0.0,0.0,47609.69
2019-10-04,2019-10-07,2019-10-07,1.0,0,0.333333,32.6321,48915.58
2019-10-11,2019-10-14,2019-10-14,1.0,0,0.0,0.0,50275.93
2019-10-18,2019-10-21,2019-10-21,1.0,0,0.333333,34.0058,50974.75
2019-10-25,2019-10-28,2019-10-28,1.0,0,0.333333,35.4854,53192.66
2019-11-01,2019-11-04,2019-11-04,1.0,0,0.0,0.0,53938.1
2019-11-08,2019-11-11,2019-11-11,1.0,0,0.333333,36.7515,55090.55
2019-11-15,2019-11-18,2019-11-18,1.0,0,0.0,0.0,54991.69
2019-11-22,2019-11-25,2019-11-25,1.0,0,0.333333,36.9751,55425.66
2019-11-29,2019-12-02,2019-12-02,1.0,0,0.0,0.0,56341.52
2019-12-06,2019-12-09,2019-12-09,1.0,0,0.333333,37.6149,56384.74
2019-12-13,2019-12-16,2019-12-16,1.0,0,0.333333,38.5408,57772.71
2019-12-20,2019-12-23,2019-12-23,1.0,0,0.0,0.0,60982.16
2019-12-27,2019-12-30,2019-12-30,1.0,0,0.0,0.0,61933.59
2020-01-03,2020-01-06,2020-01-06,1.0,0,0.333333,41.6653,62456.31
2020-01-10,2020-01-13,2020-01-13,1.0,0,0.0,0.0,63577.49
2020-01-17,2020-01-21,2020-01-21,1.0,0,0.333333,43.7512,65583.03
2020-01-24,2020-01-27,2020-01-27,1.0,0,0.0,0.0,65229.81
2020-01-31,2020-02-03,2020-02-03,1.0,0,0.0,0.0,63296.5
2020-02-07,2020-02-10,2020-02-10,1.0,0,0.333333,44.2162,66280.06
2020-02-14,2020-02-18,2020-02-18,1.0,0,0.333333,45.4467,68124.54
2020-02-21,2020-02-24,2020-02-24,1.0,0,0.0,0.0,67822.4
2020-02-28,2020-03-02,2020-03-02,1.0,0,0.0,0.0,60197.59
2020-03-06,2020-03-09,2020-03-09,1.0,0,0.0,0.0,63646.75
2020-03-13,2020-03-16,2020-03-16,1.0,0,0.333333,39.53,59255.41
2020-03-20,2020-03-23,2020-03-23,1.0,0,0.333333,35.5621,53307.64
2020-03-27,2020-03-30,2020-03-30,1.0,0,0.666667,73.5293,55073.46
2020-04-03,2020-04-06,2020-04-06,1.0,0,0.666667,70.5762,52861.54
2020-04-17,2020-04-20,2020-04-20,1.0,0,0.333333,40.3203,60440.12
2020-04-24,2020-04-27,2020-04-27,1.0,0,0.333333,40.119,60138.43
2020-05-01,2020-05-04,2020-05-04,1.0,0,0.0,0.0,57547.88
2020-05-08,2020-05-11,2020-05-11,1.0,0,0.0,0.0,60309.64
2020-05-15,2020-05-18,2020-05-18,1.0,0,0.333333,42.1055,63116.18
2020-05-22,2020-05-26,2020-05-26,1.0,0,0.666667,82.6874,61932.86
2020-05-29,2020-06-01,2020-06-01,1.0,0,0.0,0.0,60779.53
2020-06-05,2020-06-08,2020-06-08,1.0,0,0.0,0.0,61747.18
2020-06-12,2020-06-15,2020-06-15,1.0,0,0.333333,41.4069,62069.02
2020-06-19,2020-06-22,2020-06-22,1.0,0,0.0,0.0,64168.69
2020-06-26,2020-06-29,2020-06-29,1.0,0,0.333333,41.4614,62150.65
2020-07-10,2020-07-13,2020-07-13,1.0,0,0.333333,46.4681,69655.69
2020-07-17,2020-07-20,2020-07-20,1.0,0,0.333333,44.6782,66972.66
2020-07-24,2020-07-27,2020-07-27,1.0,0,0.333333,43.3636,65002.06
2020-07-31,2020-08-03,2020-08-03,1.0,0,0.333333,46.8023,70156.7
2020-08-07,2020-08-10,2020-08-10,1.0,0,0.333333,49.1511,73677.55
2020-08-14,2020-08-17,2020-08-17,1.0,0,0.0,0.0,74282.43
2020-08-21,2020-08-24,2020-08-24,1.0,0,0.0,0.0,79505.65
2020-08-28,2020-08-31,2020-08-31,1.0,0,0.0,0.0,81147.18
2020-09-04,2020-09-08,2020-09-08,1.0,0,0.0,0.0,78174.78
2020-09-11,2020-09-14,2020-09-14,1.0,0,0.0,0.0,73499.98
2020-09-18,2020-09-21,2020-09-21,1.0,0,0.0,0.0,71966.15
2020-09-25,2020-09-28,2020-09-28,1.0,0,0.0,0.0,75540.48
2020-10-02,2020-10-05,2020-10-05,1.0,0,0.0,0.0,77288.58
2020-10-09,2020-10-12,2020-10-12,1.0,0,0.333333,53.3381,79953.77
2020-10-16,2020-10-19,2020-10-19,1.0,0,0.333333,53.477,80162.09
2020-10-23,2020-10-26,2020-10-26,1.0,0,0.333333,52.3119,78415.5
2020-10-30,2020-11-02,2020-11-02,1.0,0,0.333333,48.9237,73336.62
2020-11-06,2020-11-09,2020-11-09,1.0,0,0.333333,54.8527,82224.24
2020-11-13,2020-11-16,2020-11-16,1.0,0,0.333333,53.0201,79477.15
2020-11-20,2020-11-23,2020-11-23,1.0,0,0.333333,53.1635,79692.13
2020-11-27,2020-11-30,2020-11-30,1.0,0,0.666667,109.7137,82175.56
2020-12-04,2020-12-07,2020-12-07,1.0,0,0.333333,55.6588,83432.49
2020-12-11,2020-12-14,2020-12-14,1.0,0,0.666667,108.5042,81269.62
2020-12-18,2020-12-21,2020-12-21,1.0,0,0.333333,53.8974,80792.15
2021-01-08,2021-01-11,2021-01-11,1.0,0,0.333333,57.4365,86097.36
