signal_date,exec_date,regime,stress_level,equity,w_SHY,w_IEF,w_TLT,w_SPY,w_MTUM,w_USMV,w_GLD,w_MSFT,w_NVDA,w_XLK,w_AAPL,w_QQQ,w_IWM,w_XLF
2020-05-01,2020-05-04,crash_risk,low_stress,18813.425996225662,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2020-05-08,2020-05-11,crash_risk,low_stress,18867.019052959524,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2020-05-15,2020-05-18,crash_risk,low_stress,19036.237875186842,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2020-05-22,2020-05-26,mixed,low_stress,19086.824073493448,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2020-05-29,2020-06-01,risk_on_strong,low_stress,19221.49141503193,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2020-06-05,2020-06-08,risk_on_strong,low_stress,18966.007083062294,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2020-06-12,2020-06-15,risk_on_strong,low_stress,19054.273891011475,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2020-06-19,2020-06-22,risk_on_strong,low_stress,19126.374675871557,0.056,0.0,,0.056,0.296,0.056,0.056,,,0.288,0.192,,,
2020-06-26,2020-06-29,risk_on_strong,low_stress,18742.138232959485,0.0588,0.0,,0.0588,0.0588,0.0588,0.0588,,,0.2824,0.1882,0.2353,,
2020-07-02,2020-07-06,risk_on_strong,low_stress,19167.616651890206,0.0588,0.0,,0.0588,0.0588,0.0588,0.0588,,,0.2824,0.1882,0.2353,,
2020-07-10,2020-07-13,risk_on_strong,low_stress,19428.037439406893,0.0805,0.0,,0.0805,0.0805,0.0805,0.0805,,0.1839,,0.1839,0.2299,,
2020-07-17,2020-07-20,risk_on_strong,low_stress,19650.464130742508,0.0805,0.0,,0.0805,0.0805,0.0805,0.0805,,0.1839,,0.1839,0.2299,,
2020-07-24,2020-07-27,risk_on_strong,low_stress,19132.221880925757,0.0902,0.0314,,0.0588,0.0588,0.0588,0.0902,,0.1882,,0.1882,0.2353,,
2020-07-31,2020-08-03,risk_on_strong,low_stress,19790.332917448668,0.0919,0.037,,0.0549,0.0549,0.0549,0.0919,,0.189,,0.189,0.2363,,
2020-08-07,2020-08-10,risk_on_strong,low_stress,20058.02393466503,0.0948,0.0461,,0.0487,0.0487,0.0487,0.0948,,0.1903,,0.1903,0.2378,,
2020-08-14,2020-08-17,risk_on_strong,low_stress,20231.056366532608,0.1006,0.0648,,0.0358,0.0358,0.0358,0.1006,,0.1928,,0.1928,0.2411,,
2020-08-21,2020-08-24,risk_on_strong,low_stress,20751.202226056983,0.1054,0.0802,,0.0251,0.0251,0.0251,0.1054,,0.195,,0.195,0.2437,,
2020-08-28,2020-08-31,risk_on_strong,low_stress,21069.69748835963,0.1074,0.0846,,0.0229,0.0229,0.0229,0.1074,,0.1954,0.2411,0.1954,,,
2020-09-04,2020-09-08,risk_on_strong,low_stress,20285.986663303374,0.121,0.11,,0.0109,0.0109,0.0109,0.121,,0.1978,,0.1978,0.2197,,
2020-09-11,2020-09-14,risk_on_strong,low_stress,20379.596803680466,0.1319,0.1307,,0.0012,0.0012,0.0012,0.1319,,0.1998,,0.1998,0.2022,,
2020-09-18,2020-09-21,risk_on_strong,low_stress,19711.238059941938,0.1412,0.1412,,,0.1921,,0.1412,,,,0.1921,0.1921,,
2020-09-25,2020-09-28,risk_on_strong,low_stress,19798.46651143701,0.1514,0.1514,,,0.182,,0.1514,,,,0.182,0.182,,
2020-10-02,2020-10-05,risk_on_strong,low_stress,19705.661981259225,0.1569,0.1569,,,0.1764,,0.1569,,,0.1764,,,0.1764,
2020-10-09,2020-10-12,risk_on_strong,low_stress,20007.65604329824,0.1589,0.1589,,,0.1744,,0.1589,,,0.1744,,,0.1744,
2020-10-16,2020-10-19,risk_on_strong,low_stress,19815.790598894157,0.1271,0.1271,,,,,0.1271,,,0.2063,,0.2063,0.2063,
2020-10-23,2020-10-26,risk_on_strong,low_stress,19867.5854830775,0.1024,0.1024,,,,,0.1024,,,0.2309,,0.2309,0.2309,
2020-10-30,2020-11-02,risk_on_normal,low_stress,19248.95397256261,0.2333,0.2333,,,,,0.2333,,,,,,0.3,
2020-11-06,2020-11-09,risk_on_strong,low_stress,19652.558676331944,0.0921,0.0775,,0.0146,0.2656,0.0146,0.0921,0.1971,,,,0.2463,,
2020-11-13,2020-11-16,risk_on_strong,low_stress,19713.41624440963,0.0714,0.0714,,0.262,,,0.0714,,,,,,0.262,0.262
2020-11-20,2020-11-23,risk_on_strong,low_stress,19517.23719773556,0.0639,0.0639,,0.2694,,,0.0639,,,,,,0.2694,0.2694
2020-11-27,2020-11-30,risk_on_strong,low_stress,19830.35570245144,0.065,0.065,,0.2684,,,0.065,,,,,,0.2684,0.2684
2020-12-04,2020-12-07,risk_on_strong,low_stress,20386.61836514353,0.0613,0.0541,,0.0072,0.0072,0.0072,0.0613,,,,,0.2482,0.2769,0.2769
2020-12-11,2020-12-14,risk_on_strong,low_stress,20276.1762616806,0.0557,0.0468,,0.009,0.009,0.009,0.0557,,,,,0.2478,0.2836,0.2836
2020-12-18,2020-12-21,risk_on_strong,low_stress,20653.48460255882,0.051,0.0406,,0.0105,0.0105,0.0105,0.051,,,,,0.2474,0.2893,0.2893
2020-12-24,2020-12-28,risk_on_strong,low_stress,20821.953176678882,0.0574,0.0332,,0.0242,0.0242,0.0242,0.0574,,,,0.1952,,0.292,0.292
2020-12-31,2021-01-04,risk_on_strong,low_stress,20741.79883676734,0.0569,0.0325,,0.0244,0.0244,0.0244,0.0569,,,,0.1951,,0.2927,0.2927
2021-01-08,2021-01-11,risk_on_strong,low_stress,21639.95040557105,0.0569,0.0325,,0.0244,0.0244,0.0244,0.0569,,,,0.1951,,0.2927,0.2927
2021-01-15,2021-01-19,risk_on_strong,low_stress,21626.452729788565,0.0268,0.0,,0.3,0.0268,0.0268,0.0268,,,,,,0.2965,0.2965
2021-01-22,2021-01-25,risk_on_strong,low_stress,21611.926971627134,0.0476,0.0,,0.0476,0.0476,0.0476,0.0476,,,,0.1905,,0.2857,0.2857
2021-01-29,2021-02-01,risk_on_strong,low_stress,20665.96372389511,0.0569,0.0325,,0.0244,0.0244,0.0244,0.0569,,,,0.1951,,0.2927,0.2927
2021-02-05,2021-02-08,risk_on_strong,low_stress,21394.303215812466,0.0569,0.0325,,0.0244,0.0244,0.0244,0.0569,,,,0.1951,,0.2927,0.2927
2021-02-12,2021-02-16,risk_on_strong,low_stress,21382.673851558608,0.0333,0.0333,,,0.3,,0.0333,,,,,,0.3,0.3
2021-02-19,2021-02-22,risk_on_strong,low_stress,21320.154839532996,0.0333,0.0333,,,0.3,,0.0333,,,,,,0.3,0.3
2021-02-26,2021-03-01,risk_on_strong,low_stress,20832.5574862298,0.0639,0.0418,,0.0222,0.0222,0.0222,0.0639,0.1956,,,,,0.2842,0.2842
2021-03-05,2021-03-08,risk_on_strong,low_stress,20516.79747300837,0.075,0.0564,,0.0186,0.0186,0.0186,0.075,0.1963,,,,,0.2707,0.2707
2021-03-12,2021-03-15,risk_on_strong,low_stress,21229.507618427404,0.081,0.0643,,0.0167,0.0167,0.0167,0.081,0.1967,,,,,0.2635,0.2635
2021-03-19,2021-03-22,risk_on_strong,low_stress,20888.286521047998,0.0695,0.0695,,0.2639,,,0.0695,,,,,,0.2639,0.2639
2021-03-26,2021-03-29,risk_on_strong,low_stress,20951.472284543775,0.079,0.079,,0.2543,,,0.079,,,,,,0.2543,0.2543
2021-04-01,2021-04-05,risk_on_strong,low_stress,21319.877922157324,0.0947,0.0823,,0.0123,0.0123,0.0123,0.0947,0.1975,,,,,0.2469,0.2469
2021-04-09,2021-04-12,risk_on_strong,low_stress,21466.262861289077,0.0816,0.0651,,0.0165,0.0165,0.0165,0.0816,0.1967,,0.2627,,,,0.2627
2021-04-16,2021-04-19,risk_on_strong,low_stress,21722.069789987487,0.0607,0.0375,,0.0232,0.0232,0.0232,0.0607,0.1954,,0.2881,,,,0.2881
2021-04-23,2021-04-26,risk_on_strong,low_stress,21806.14463398758,0.063,0.0325,,0.2927,0.0305,0.0305,0.063,0.1951,,,,,,0.2927
