year,return,SPY,QQQ,6040,beats_spy,beats_qqq,beats_6040,strategy
2016,33.93,13.59,9.41,8.33,True,True,True,M5_ML_META_SELECTOR
2017,14.83,20.78,31.49,15.96,False,False,False,M5_ML_META_SELECTOR
2018,-7.29,-5.25,-1.85,-3.36,False,False,False,M5_ML_META_SELECTOR
2019,26.1,31.09,38.41,24.06,False,False,True,M5_ML_META_SELECTOR
2020,38.13,17.24,45.97,17.07,True,False,True,M5_ML_META_SELECTOR
2021,24.9,30.51,29.24,16.51,False,False,True,M5_ML_META_SELECTOR
2022,-33.13,-18.65,-33.22,-22.94,False,True,False,M5_ML_META_SELECTOR
2023,20.91,26.71,55.91,16.36,False,False,True,M5_ML_META_SELECTOR
2024,20.41,25.59,27.74,12.35,False,False,True,M5_ML_META_SELECTOR
2025,10.46,18.01,21.01,12.39,False,False,False,M5_ML_META_SELECTOR
2026,6.93,10.62,18.25,5.93,False,False,True,M5_ML_META_SELECTOR
